STATE/UT,DISTRICT,Year,Rape,Kidnapping and Abduction,Dowry Deaths,Assault on women with intent to outrage her modesty,Insult to modesty of Women,Cruelty by Husband or his Relatives,Total crimes
BIHAR,SHEOHAR,2012,2,22,9,3,0,9,45
BIHAR,SITAMARHI,2012,20,143,30,0,0,100,293
BIHAR,SIWAN,2012,20,166,64,2,0,101,353
BIHAR,SUPAUL,2012,20,90,15,0,0,79,204
BIHAR,VAISHALI,2012,20,171,62,1,0,196,450
BIHAR,TOTAL,2012,927,3789,1275,118,37,3686,9832
CHHATTISGARH,BALOD,2012,22,6,4,50,1,9,92
CHHATTISGARH,BALODA BAZAR,2012,45,18,0,98,10,37,208
CHHATTISGARH,BALRAMPUR,2012,64,0,0,52,2,30,148
CHHATTISGARH,BEMETARA,2012,24,18,3,61,5,29,140
CHHATTISGARH,BILASPUR,2012,47,28,10,169,11,95,360
CHHATTISGARH,BIZAPUR,2012,4,3,0,5,0,1,13
CHHATTISGARH,DANTEWARA,2012,7,1,0,4,0,5,17
CHHATTISGARH,DHAMTARI,2012,21,2,1,36,11,15,86
CHHATTISGARH,DURG,2012,91,47,9,178,25,111,461
CHHATTISGARH,GARIYABAND,2012,19,2,1,28,5,6,61
CHHATTISGARH,GRP RAIPUR,2012,2,6,0,5,0,2,15
CHHATTISGARH,JAGDALPUR,2012,36,10,0,20,0,8,74
CHHATTISGARH,JANJGIR,2012,33,19,11,104,13,123,303
CHHATTISGARH,JASHPUR,2012,80,19,2,29,0,31,161
CHHATTISGARH,KABIRDHAM,2012,22,14,1,58,2,20,117
CHHATTISGARH,KANKER,2012,23,6,2,18,1,19,69
CHHATTISGARH,KONDAGAON,2012,11,0,0,4,3,2,20
CHHATTISGARH,KORBA,2012,43,15,4,59,7,42,170
CHHATTISGARH,KORIYA,2012,42,12,5,86,2,65,212
CHHATTISGARH,MAHASAMUND,2012,28,37,4,63,4,33,169
CHHATTISGARH,MUNGELI,2012,6,13,2,24,3,26,74
CHHATTISGARH,NARAYANPUR,2012,5,1,0,4,2,0,12
CHHATTISGARH,RAIGARH,2012,69,14,6,81,8,55,233
CHHATTISGARH,RAIPUR,2012,111,14,8,148,38,109,428
CHHATTISGARH,RAJNANDGAON,2012,31,7,3,52,7,17,117
CHHATTISGARH,SARGUJA,2012,73,18,0,89,1,25,206
CHHATTISGARH,SUKMA,2012,1,5,0,2,0,2,10
CHHATTISGARH,SURAJPUR,2012,74,15,5,74,1,63,232
CHHATTISGARH,TOTAL,2012,1034,350,81,1601,162,980,4208
GOA,NORTH GOA,2012,26,10,0,29,14,11,90
GOA,SOUTH GOA,2012,29,6,0,20,2,13,70
GOA,TOTAL,2012,55,16,0,49,16,24,160
GUJARAT,AHMEDABAD COMMR.,2012,63,183,11,79,7,1448,1791
GUJARAT,AHMEDABAD RURAL,2012,5,67,0,33,0,163,268
GUJARAT,AHWA-DANG,2012,1,1,0,1,1,8,12
GUJARAT,AMRELI,2012,10,75,0,20,7,146,258
GUJARAT,ANAND,2012,9,53,0,22,1,188,273
GUJARAT,BHARUCH,2012,12,22,0,19,1,0,54
GUJARAT,BHAVNAGAR,2012,13,96,0,30,42,221,402
GUJARAT,CID CRIME,2012,1,0,0,0,0,0,1
GUJARAT,DAHOD,2012,10,67,0,17,0,7,101
GUJARAT,GANDHINAGAR,2012,20,26,0,10,1,159,216
GUJARAT,HIMATNAGAR,2012,10,55,0,22,4,249,340
GUJARAT,JAMNAGAR,2012,22,37,0,40,4,439,542
GUJARAT,JUNAGADH,2012,15,53,1,37,5,411,522
GUJARAT,KHEDA NORTH,2012,18,55,0,22,0,161,256
GUJARAT,KUTCH (EAST(G)),2012,17,23,1,12,0,188,241
GUJARAT,KUTCH (WEST-BHUJ),2012,8,17,0,18,0,127,170
GUJARAT,MEHSANA,2012,10,54,0,28,1,245,338
GUJARAT,NARMADA,2012,7,5,0,3,0,13,28
GUJARAT,NAVSARI,2012,4,15,0,4,0,114,137
GUJARAT,PALANPUR,2012,49,107,0,64,1,349,570
GUJARAT,PANCHMAHAL,2012,5,73,0,36,0,294,408
GUJARAT,PATAN,2012,7,31,0,32,1,151,222
GUJARAT,PORBANDAR,2012,10,7,1,8,0,73,99
GUJARAT,RAJKOT COMMR.,2012,11,50,0,10,3,264,338
GUJARAT,RAJKOT RURAL,2012,20,58,3,26,3,292,402
GUJARAT,SURAT COMMR.,2012,40,66,3,28,0,299,436
GUJARAT,SURAT RURAL,2012,13,30,1,14,2,94,154
GUJARAT,SURENDRANAGAR,2012,19,46,0,51,5,124,245
GUJARAT,TAPI,2012,5,3,0,9,0,17,34
GUJARAT,VADODARA COMMR.,2012,11,57,0,15,4,306,393
GUJARAT,VADODARA RURAL,2012,15,72,0,23,0,90,200
GUJARAT,VALSAD,2012,12,19,0,9,0,15,55
GUJARAT,W.RLY AHMEDABAD,2012,1,2,0,2,0,2,7
GUJARAT,W.RLY VADODARA,2012,0,2,0,1,0,1,4
GUJARAT,TOTAL,2012,473,1527,21,745,93,6658,9517
HARYANA,AMBALA RURAL,2012,11,19,7,12,4,73,126
HARYANA,AMBALA URBAN,2012,21,39,5,23,14,159,261
HARYANA,BHIWANI,2012,28,69,19,45,23,179,363
HARYANA,FARIDABAD,2012,47,87,8,31,84,197,454
HARYANA,FATEHABAD,2012,15,33,4,7,7,125,191
HARYANA,GRP,2012,1,7,5,9,83,1,106
HARYANA,GURGAON,2012,44,47,15,18,31,150,305
HARYANA,HISSAR,2012,44,88,12,39,23,312,518
HARYANA,JHAJJAR,2012,20,17,10,19,14,135,215
HARYANA,JIND,2012,34,40,17,27,0,114,232
HARYANA,KAITHAL,2012,18,20,6,15,0,127,186
HARYANA,KARNAL,2012,63,41,23,50,28,204,409
HARYANA,KURUKSHETRA,2012,25,30,11,20,27,110,223
HARYANA,MAHENDRAGARH,2012,14,18,10,26,0,78,146
HARYANA,MEWAT,2012,50,15,5,15,7,168,260
HARYANA,PALWAL,2012,32,47,12,27,0,107,225
HARYANA,PANCHKULA,2012,18,23,7,13,1,51,113
HARYANA,PANIPAT,2012,35,67,15,23,12,136,288
HARYANA,REWARI,2012,24,20,12,16,1,102,175
HARYANA,ROHTAK,2012,37,23,12,24,40,143,279
HARYANA,SIRSA,2012,30,55,6,25,1,159,276
HARYANA,SONIPAT,2012,32,49,30,26,25,185,347
HARYANA,YAMUNANAGAR,2012,25,46,7,15,9,122,224
HARYANA,TOTAL,2012,668,900,258,525,434,3137,5922
HIMACHAL PRADESH,BADDIPOLICEDIST,2012,12,8,1,7,0,16,44
HIMACHAL PRADESH,BILASPUR,2012,12,5,0,21,12,22,72
HIMACHAL PRADESH,CHAMBA,2012,10,14,1,9,4,7,45
HIMACHAL PRADESH,CID,2012,0,0,0,0,0,0,0
HIMACHAL PRADESH,G.R.P.,2012,0,0,0,0,0,0,0
HIMACHAL PRADESH,HAMIRPUR,2012,8,2,0,20,5,17,52
HIMACHAL PRADESH,KANGRA,2012,26,47,0,45,13,43,174
HIMACHAL PRADESH,KINNAUR,2012,6,2,0,1,0,5,14
HIMACHAL PRADESH,KULLU,2012,22,5,0,22,0,10,59
HIMACHAL PRADESH,LAHAUL-SPITI,2012,2,0,0,1,0,0,3
HIMACHAL PRADESH,MANDI,2012,28,18,0,49,17,32,144
HIMACHAL PRADESH,SHIMLA,2012,23,25,0,28,7,23,106
HIMACHAL PRADESH,SIRMAUR,2012,17,11,0,24,4,18,74
HIMACHAL PRADESH,SOLAN,2012,9,8,0,13,1,16,47
HIMACHAL PRADESH,UNA,2012,8,7,0,10,5,42,72
HIMACHAL PRADESH,TOTAL,2012,183,152,2,250,68,251,906
JAMMU & KASHMIR,ANANTNAG,2012,14,92,0,130,33,4,273
JAMMU & KASHMIR,AWANTIPORA,2012,4,29,0,11,7,1,52
JAMMU & KASHMIR,BANDIPORA,2012,6,45,0,81,5,0,137
JAMMU & KASHMIR,BARAMULLA,2012,12,79,0,109,23,13,236
JAMMU & KASHMIR,BUDGAM,2012,7,73,0,114,15,5,214
JAMMU & KASHMIR,CRIME JAMMU,2012,0,0,0,0,0,0,0
JAMMU & KASHMIR,CRIME SRINAGAR,2012,0,0,0,0,0,0,0
JAMMU & KASHMIR,DODA,2012,16,31,0,23,5,26,101
JAMMU & KASHMIR,GANDERBAL,2012,9,32,0,97,3,2,143
JAMMU & KASHMIR,HANDWARA,2012,6,35,0,88,3,2,134
JAMMU & KASHMIR,JAMMU,2012,39,92,5,44,33,67,280
JAMMU & KASHMIR,KARGIL,2012,1,0,0,1,0,0,2
JAMMU & KASHMIR,KATHUA,2012,20,34,1,30,12,14,111
JAMMU & KASHMIR,KISHTWAR,2012,6,23,0,12,1,11,53
JAMMU & KASHMIR,KULGAM,2012,15,68,0,96,19,2,200
JAMMU & KASHMIR,KUPWARA,2012,15,49,0,53,16,9,142
JAMMU & KASHMIR,LEH,2012,3,1,0,5,0,0,9
JAMMU & KASHMIR,POONCH,2012,9,41,0,31,6,14,101
JAMMU & KASHMIR,PULWAMA,2012,3,21,0,8,19,0,51
JAMMU & KASHMIR,RAILWAYS JAMMU,2012,0,0,0,0,1,0,1
JAMMU & KASHMIR,RAILWAYS KASHMIR,2012,0,1,0,0,0,0,1
JAMMU & KASHMIR,RAILWAYS KATRA,2012,0,0,0,0,0,0,0
JAMMU & KASHMIR,RAJOURI,2012,32,54,1,51,11,44,193
JAMMU & KASHMIR,RAMBAN,2012,7,22,0,9,6,0,44
JAMMU & KASHMIR,REASI,2012,12,18,0,14,6,2,52
JAMMU & KASHMIR,SAMBA,2012,8,9,1,10,11,4,43
JAMMU & KASHMIR,SHOPIAN,2012,3,47,0,29,9,0,88
JAMMU & KASHMIR,SOPORE,2012,7,34,0,55,9,6,111
JAMMU & KASHMIR,SRINAGAR,2012,19,89,0,201,82,63,454
JAMMU & KASHMIR,UDHAMPUR,2012,30,22,0,20,12,12,96
JAMMU & KASHMIR,TOTAL,2012,303,1041,8,1322,347,301,3322
JHARKHAND,BOKARO,2012,46,63,21,4,0,212,346
JHARKHAND,CHAIBASA,2012,34,15,6,8,0,20,83
JHARKHAND,CHATRA,2012,15,20,8,6,0,18,67
JHARKHAND,DEOGHAR,2012,38,3,18,35,0,159,253
JHARKHAND,DHANBAD,2012,41,101,49,4,2,89,286
JHARKHAND,DHANBAD RLY.,2012,2,2,1,8,0,2,15
JHARKHAND,DUMKA,2012,29,26,8,12,0,43,118
JHARKHAND,GARHWA,2012,43,21,21,14,0,68,167
JHARKHAND,GIRIDIH,2012,37,36,32,46,0,104,255
JHARKHAND,GODDA,2012,22,42,11,2,0,0,77
JHARKHAND,GUMLA,2012,36,44,2,9,0,6,97
JHARKHAND,HAZARIBAGH,2012,42,49,24,9,0,54,178
JHARKHAND,JAMSHEDPUR,2012,56,91,17,22,3,106,295
JHARKHAND,JAMSHEDPUR RLY.,2012,1,1,0,0,0,0,2
JHARKHAND,JAMTARA,2012,27,10,5,1,0,72,115
JHARKHAND,KHUNTI,2012,8,10,1,2,1,0,22
JHARKHAND,KODERMA,2012,8,22,13,12,0,29,84
JHARKHAND,LATEHAR,2012,15,16,4,6,0,10,51
JHARKHAND,LOHARDAGGA,2012,23,18,1,6,0,23,71
JHARKHAND,PAKUR,2012,53,18,1,10,0,64,146
JHARKHAND,PALAMU,2012,26,30,28,10,0,20,114
JHARKHAND,RAMGARH,2012,26,19,7,10,2,7,71
JHARKHAND,RANCHI,2012,52,53,11,22,1,45,184
JHARKHAND,SAHEBGANJ,2012,65,45,6,11,1,74,202
JHARKHAND,SARAIKELA,2012,35,14,6,10,0,25,90
JHARKHAND,SIMDEGA,2012,32,17,1,5,0,11,66
JHARKHAND,TOTAL,2012,812,786,302,284,10,1261,3455
KARNATAKA,BAGALKOT,2012,11,14,6,63,0,72,166
KARNATAKA,BANGALORE COMMR.,2012,90,433,51,321,51,524,1470
KARNATAKA,BANGALORE RURAL,2012,31,41,10,70,0,96,248
KARNATAKA,BELGAUM,2012,37,34,5,205,9,307,597
KARNATAKA,BELLARY,2012,18,24,9,48,0,104,203
KARNATAKA,BIDAR,2012,11,24,10,40,2,99,186
KARNATAKA,BIJAPUR,2012,18,24,4,41,0,128,215
KARNATAKA,CBPURA,2012,12,20,12,56,3,36,139
KARNATAKA,CHAMARAJNAGAR,2012,9,8,2,64,0,62,145
KARNATAKA,CHICKMAGALUR,2012,11,7,4,70,2,89,183
KARNATAKA,CHITRADURGA,2012,26,34,6,140,0,75,281
KARNATAKA,DAKSHIN KANNADA,2012,12,9,2,35,8,42,108
KARNATAKA,DAVANAGERE,2012,17,20,8,117,0,119,281
KARNATAKA,DHARWAD COMMR.,2012,6,42,2,16,0,65,131
KARNATAKA,DHARWAD RURAL,2012,5,3,0,38,0,24,70
KARNATAKA,GADAG,2012,6,12,2,59,0,47,126
KARNATAKA,GULBARGA,2012,29,39,10,132,0,151,361
KARNATAKA,HASSAN,2012,21,19,5,120,1,155,321
KARNATAKA,HAVERI,2012,12,0,3,72,0,68,155
KARNATAKA,K.G.F.,2012,10,0,2,10,0,19,41
KARNATAKA,KODAGU,2012,12,3,2,25,0,43,85
KARNATAKA,KOLAR,2012,18,14,1,37,0,34,104
KARNATAKA,KOPPAL,2012,7,0,0,17,0,87,111
KARNATAKA,MANDYA,2012,35,39,9,149,1,204,437
KARNATAKA,MANGALORE CITY,2012,12,4,1,29,1,48,95
KARNATAKA,MYSORE COMMR.,2012,12,10,6,22,0,32,82
KARNATAKA,MYSORE RURAL,2012,28,47,1,163,0,158,397
KARNATAKA,RAICHUR,2012,19,25,1,141,0,190,376
KARNATAKA,RAILWAYS,2012,2,1,2,2,1,0,8
KARNATAKA,RAMANAGAR,2012,16,53,17,112,0,73,271
KARNATAKA,SHIMOGA,2012,14,24,6,158,3,222,427
KARNATAKA,TUMKUR,2012,33,10,18,171,0,132,364
KARNATAKA,UDUPI,2012,5,3,0,41,1,38,88
KARNATAKA,UTTAR KANNADA,2012,7,10,1,97,8,78,201
KARNATAKA,YADGIRI,2012,9,20,0,97,9,63,198
KARNATAKA,TOTAL,2012,621,1070,218,2978,100,3684,8671
KERALA,ALAPUZHA,2012,44,15,1,250,14,294,618
KERALA,ERNAKULAM COMMR.,2012,28,5,0,108,16,127,284
KERALA,ERNAKULAM RURAL,2012,59,9,0,162,25,216,471
KERALA,IDUKKI,2012,53,10,2,189,10,219,483
KERALA,KANNUR,2012,66,18,0,183,12,391,670
KERALA,KASARGOD,2012,89,10,3,156,15,205,478
KERALA,KOLLAM COMMR.,2012,46,18,4,171,41,336,616
KERALA,KOLLAM RURAL,2012,49,14,1,270,20,326,680
KERALA,KOTTAYAM,2012,55,17,1,265,55,255,648
KERALA,KOZHIKODE COMMR.,2012,36,3,0,103,83,144,369
KERALA,KOZHIKODE RURAL,2012,42,13,0,153,15,313,536
KERALA,MALAPPURAM,2012,97,3,2,221,21,668,1012
KERALA,PALAKKAD,2012,68,9,5,146,11,401,640
KERALA,PATHANAMTHITTA,2012,32,16,2,137,8,162,357
KERALA,RAILWAYS,2012,0,1,0,46,12,0,59
KERALA,THRISSUR COMMR.,2012,35,9,0,111,32,146,333
KERALA,THRISSUR RURAL,2012,46,9,2,218,36,361,672
KERALA,TRIVANDRUM COMMR.,2012,41,16,0,226,19,159,461
KERALA,TRIVANDRUM RURAL,2012,97,10,8,541,38,398,1092
KERALA,WAYANADU,2012,36,9,1,79,15,95,235
KERALA,TOTAL,2012,1019,214,32,3735,498,5216,10714
MADHYA PRADESH,ALIRAJPUR,2012,22,12,0,31,1,2,68
MADHYA PRADESH,ANUPPUR,2012,62,8,12,80,6,53,221
MADHYA PRADESH,ASHOK NAGAR,2012,50,5,10,62,1,21,149
MADHYA PRADESH,BALAGHAT,2012,78,7,6,113,11,63,278
MADHYA PRADESH,BARWANI,2012,50,8,2,72,5,13,150
MADHYA PRADESH,BETUL,2012,118,10,11,151,15,57,362
MADHYA PRADESH,BHIND,2012,49,25,40,83,7,50,254
MADHYA PRADESH,BHOPAL,2012,143,49,19,244,52,254,761
MADHYA PRADESH,BHOPAL RLY.,2012,4,1,0,14,1,3,23
MADHYA PRADESH,BURHANPUR,2012,23,5,2,42,22,47,141
MADHYA PRADESH,CHHATARPUR,2012,62,39,26,172,0,68,367
MADHYA PRADESH,CHHINDWARA,2012,122,19,18,202,41,108,510
MADHYA PRADESH,DAMOH,2012,50,27,20,165,0,108,370
MADHYA PRADESH,DATIYA,2012,23,20,8,61,0,25,137
MADHYA PRADESH,DEWAS,2012,70,29,19,146,31,130,425
MADHYA PRADESH,DHAR,2012,81,45,39,173,16,69,423
MADHYA PRADESH,DINDORI,2012,40,6,5,80,6,39,176
MADHYA PRADESH,GUNA,2012,60,25,8,131,11,34,269
MADHYA PRADESH,GWALIOR,2012,85,75,35,158,13,202,568
MADHYA PRADESH,HARDA,2012,26,10,7,51,4,16,114
MADHYA PRADESH,HOSHANGABAD,2012,69,27,12,129,21,57,315
MADHYA PRADESH,INDORE,2012,173,42,24,405,114,448,1206
MADHYA PRADESH,INDORE RLY.,2012,3,3,0,3,1,0,10
MADHYA PRADESH,JABALPUR,2012,127,45,33,253,43,219,720
MADHYA PRADESH,JABALPUR RLY.,2012,3,0,0,13,1,0,17
MADHYA PRADESH,JHABUA,2012,62,17,0,92,0,24,195
MADHYA PRADESH,KATNI,2012,58,14,12,146,14,46,290
MADHYA PRADESH,KHANDWA,2012,66,5,6,136,6,34,253
MADHYA PRADESH,KHARGON,2012,67,20,30,133,22,45,317
MADHYA PRADESH,MANDLA,2012,75,8,3,94,12,40,232
MADHYA PRADESH,MANDSAUR,2012,49,28,6,100,6,78,267
MADHYA PRADESH,MORENA,2012,32,29,29,107,3,94,294
MADHYA PRADESH,NARSINGHPUR,2012,71,14,16,158,31,79,369
MADHYA PRADESH,NEEMUCH,2012,25,10,4,43,13,42,137
MADHYA PRADESH,PANNA,2012,34,4,18,72,10,31,169
MADHYA PRADESH,RAISEN,2012,92,16,22,158,0,72,360
MADHYA PRADESH,RAJGARH,2012,90,47,6,181,25,50,399
MADHYA PRADESH,RATLAM,2012,72,25,13,128,11,85,334
MADHYA PRADESH,REWA,2012,92,35,39,115,7,101,389
MADHYA PRADESH,SAGAR,2012,125,61,34,441,22,145,828
MADHYA PRADESH,SATNA,2012,89,25,17,138,7,121,397
MADHYA PRADESH,SEONI,2012,65,8,11,100,7,24,215
MADHYA PRADESH,SHAHDOL,2012,81,27,13,133,7,141,402
MADHYA PRADESH,SHAJAPUR,2012,67,17,7,102,15,42,250
MADHYA PRADESH,SHEOPUR,2012,17,4,5,40,0,29,95
MADHYA PRADESH,SHIVPURI,2012,104,22,9,148,19,67,369
MADHYA PRADESH,SIDHI,2012,48,38,18,84,5,59,252
MADHYA PRADESH,SIHORE,2012,69,14,10,100,13,47,253
MADHYA PRADESH,SINGRAULI,2012,32,33,13,87,6,63,234
MADHYA PRADESH,TIKAMGARH,2012,61,8,16,124,7,27,243
MADHYA PRADESH,UJJAIN,2012,73,31,11,180,53,202,550
MADHYA PRADESH,UMARIYA,2012,22,2,0,68,7,17,116
MADHYA PRADESH,VIDISHA,2012,94,23,19,213,23,97,469
MADHYA PRADESH,TOTAL,2012,3425,1127,743,6655,774,3988,16712
MAHARASHTRA,AHMEDNAGAR,2012,61,49,23,147,1,576,857
MAHARASHTRA,AKOLA,2012,19,19,4,92,40,87,261
MAHARASHTRA,AMRAVATI COMMR.,2012,20,16,1,53,14,74,178
MAHARASHTRA,AMRAVATI RURAL,2012,64,17,3,154,42,139,419
MAHARASHTRA,AURANGABAD COMMR.,2012,23,18,4,79,28,120,272
MAHARASHTRA,AURANGABAD RURAL,2012,25,10,18,77,25,298,453
MAHARASHTRA,BEED,2012,42,21,8,81,9,378,539
MAHARASHTRA,BHANDARA,2012,26,8,3,36,33,59,165
MAHARASHTRA,BULDHANA,2012,29,28,27,107,35,193,419
MAHARASHTRA,CHANDRAPUR,2012,44,29,4,119,79,125,400
MAHARASHTRA,DHULE,2012,30,14,4,39,2,207,296
MAHARASHTRA,GADCHIROLI,2012,18,6,0,30,5,12,71
MAHARASHTRA,GONDIA,2012,38,10,0,47,18,42,155
MAHARASHTRA,HINGOLI,2012,13,5,6,33,3,88,148
MAHARASHTRA,JALGAON,2012,45,39,1,134,51,409,679
MAHARASHTRA,JALNA,2012,25,18,36,89,9,303,480
MAHARASHTRA,KOLHAPUR,2012,48,22,17,66,32,148,333
MAHARASHTRA,LATUR,2012,21,32,4,61,0,212,330
MAHARASHTRA,MUMBAI COMMR.,2012,232,141,11,614,235,388,1621
MAHARASHTRA,MUMBAI RLY.,2012,1,5,1,21,3,0,31
MAHARASHTRA,NAGPUR COMMR.,2012,57,39,6,84,53,166,405
MAHARASHTRA,NAGPUR RLY.,2012,1,2,0,4,4,3,14
MAHARASHTRA,NAGPUR RURAL,2012,29,15,7,82,20,76,229
MAHARASHTRA,NANDED,2012,48,32,25,71,5,421,602
MAHARASHTRA,NANDURBAR,2012,19,8,0,22,4,78,131
MAHARASHTRA,NASIK COMMR.,2012,20,13,3,36,16,147,235
MAHARASHTRA,NASIK RURAL,2012,46,20,17,98,26,319,526
MAHARASHTRA,NAVI MUMBAI,2012,36,11,3,64,25,91,230
MAHARASHTRA,OSMANABAD,2012,38,21,2,86,12,175,334
MAHARASHTRA,PARBHANI,2012,28,13,3,68,9,242,363
MAHARASHTRA,PUNE COMMR.,2012,85,77,9,120,85,215,591
MAHARASHTRA,PUNE RLY.,2012,2,1,0,3,0,0,6
MAHARASHTRA,PUNE RURAL,2012,92,51,12,128,59,221,563
MAHARASHTRA,RAIGAD,2012,21,3,19,37,9,40,129
MAHARASHTRA,RATNAGIRI,2012,11,3,2,31,17,38,102
MAHARASHTRA,SANGLI,2012,33,23,8,57,15,64,200
MAHARASHTRA,SATARA,2012,43,25,0,78,29,166,341
MAHARASHTRA,SINDHUDURG,2012,9,5,0,20,17,11,62
MAHARASHTRA,SOLAPUR COMMR.,2012,25,21,1,31,10,53,141
MAHARASHTRA,SOLAPUR RURAL,2012,67,24,3,58,40,151,343
MAHARASHTRA,THANE COMMR.,2012,107,77,4,203,28,330,749
MAHARASHTRA,THANE RURAL,2012,63,37,6,155,32,111,404
MAHARASHTRA,WARDHA,2012,40,25,0,93,30,59,247
MAHARASHTRA,WASHIM,2012,31,27,6,84,19,133,300
MAHARASHTRA,YAVATMAL,2012,64,60,18,143,66,247,598
MAHARASHTRA,TOTAL,2012,1839,1140,329,3935,1294,7415,15952
MANIPUR,BISHNUPUR,2012,11,7,0,3,0,4,25
MANIPUR,CHANDEL,2012,0,1,0,1,0,0,2
MANIPUR,CHURACHANDPUR,2012,1,1,0,1,0,1,4
MANIPUR,CID,2012,0,0,0,0,0,0,0
MANIPUR,IMPHAL EAST,2012,10,36,0,10,0,11,67
MANIPUR,IMPHAL WEST,2012,18,47,0,21,0,9,95
MANIPUR,SENAPATI,2012,2,3,0,1,0,0,6
MANIPUR,TAMENGLONG,2012,1,1,0,0,0,0,2
MANIPUR,THOUBAL,2012,20,37,0,12,1,17,87
MANIPUR,UKHRUL,2012,0,0,0,0,0,1,1
MANIPUR,TOTAL,2012,63,133,0,49,1,43,289
MEGHALAYA,GARO HILLS EAST,2012,2,1,0,3,0,0,6
MEGHALAYA,GARO HILLS SOUTH,2012,6,2,0,2,0,1,11
MEGHALAYA,GARO HILLS WEST,2012,6,7,0,2,0,0,15
MEGHALAYA,JAINTIA HILLS,2012,32,5,0,3,0,0,40
MEGHALAYA,KHASI HILLS EAST,2012,58,5,1,21,0,13,98
MEGHALAYA,KHASI HILLS WEST,2012,28,0,0,8,0,0,36
MEGHALAYA,RI-BHOI,2012,32,4,0,4,0,2,42
MEGHALAYA,TOTAL,2012,164,24,1,43,0,16,248
MIZORAM,AIZAWL,2012,42,0,0,44,0,8,94
MIZORAM,CHAMPHAI,2012,12,1,0,15,0,0,28
MIZORAM,KOLASIB,2012,9,0,0,9,0,0,18
MIZORAM,LAWNGTLAI,2012,7,1,0,0,0,0,8
MIZORAM,LUNGLEI,2012,16,0,0,4,0,0,20
MIZORAM,MAMIT,2012,10,0,0,3,0,0,13
MIZORAM,SAIHA,2012,0,1,0,1,0,0,2
MIZORAM,SERCHHIP,2012,7,0,0,9,0,0,16
MIZORAM,TOTAL,2012,103,3,0,85,0,8,199
NAGALAND,DIMAPUR,2012,9,5,0,9,0,0,23
NAGALAND,KIPHIRE,2012,0,0,0,0,0,0,0
NAGALAND,KOHIMA,2012,1,0,0,2,0,0,3
NAGALAND,LONGLENG,2012,0,0,0,0,0,0,0
NAGALAND,MOKOKCHUNG,2012,3,0,0,3,0,0,6
NAGALAND,MON,2012,3,2,0,0,0,0,5
NAGALAND,PEREN,2012,0,0,0,0,0,0,0
NAGALAND,PHEK,2012,1,0,0,2,0,0,3
NAGALAND,TUENSANG,2012,1,0,0,0,0,0,1
NAGALAND,WOKHA,2012,2,0,0,0,0,0,2
NAGALAND,ZUNHEBOTO,2012,1,3,0,0,0,0,4
NAGALAND,TOTAL,2012,21,10,0,16,0,0,47
ODISHA,ANGUL,2012,63,55,20,321,8,76,543
ODISHA,BALASORE,2012,87,130,43,242,20,307,829
ODISHA,BARAGARH,2012,35,30,3,154,14,96,332
ODISHA,BERHAMPUR,2012,18,17,10,158,12,119,334
ODISHA,BHADRAK,2012,54,66,20,93,12,155,400
ODISHA,BOLANGIR,2012,51,36,7,238,15,40,387
ODISHA,BOUDH,2012,10,8,0,79,6,24,127
ODISHA,CUTTACK,2012,43,57,27,38,7,147,319
ODISHA,DCP BBSR,2012,56,76,24,75,22,91,344
ODISHA,DCP CTC,2012,28,43,14,30,2,134,251
ODISHA,DEOGARH,2012,17,5,2,41,0,9,74
ODISHA,DHENKANAL,2012,29,35,23,267,18,33,405
ODISHA,GAJAPATI,2012,18,9,2,61,3,8,101
ODISHA,GANJAM,2012,53,55,32,356,27,39,562
ODISHA,JAGATSINGHPUR,2012,43,52,20,43,2,123,283
ODISHA,JAJPUR,2012,49,56,51,83,4,162,405
ODISHA,JHARSUGUDA,2012,21,6,2,41,11,50,131
ODISHA,KALAHANDI,2012,65,41,8,120,14,96,344
ODISHA,KANDHAMAL,2012,32,27,1,101,4,34,199
ODISHA,KENDRAPARA,2012,38,65,48,7,4,43,205
ODISHA,KEONJHAR,2012,102,70,28,231,24,181,636
ODISHA,KHURDA,2012,27,46,16,338,2,178,607
ODISHA,KORAPUT,2012,73,31,21,114,9,0,248
ODISHA,MALKANGIR,2012,17,19,5,51,4,14,110
ODISHA,MAYURBHANJ,2012,86,67,34,295,12,129,623
ODISHA,NAYAGARH,2012,25,35,16,11,1,17,105
ODISHA,NOWRANGPUR,2012,42,45,2,83,14,43,229
ODISHA,NUAPADA,2012,18,17,1,62,6,13,117
ODISHA,PURI,2012,42,51,26,33,3,161,316
ODISHA,RAYAGADA,2012,41,40,4,111,9,29,234
ODISHA,ROURKELA,2012,65,22,2,102,4,29,224
ODISHA,SAMBALPUR,2012,57,26,0,62,4,32,181
ODISHA,SONEPUR,2012,12,8,4,53,1,10,88
ODISHA,SRP(CUTTACK),2012,0,0,0,11,1,0,12
ODISHA,SRP(ROURKELA),2012,1,3,1,9,0,2,16
ODISHA,SUNDARGARH,2012,40,15,8,73,5,14,155
ODISHA,TOTAL,2012,1458,1364,525,4187,304,2638,10476
PUNJAB,AMRITSAR RURAL,2012,18,30,8,12,0,49,117
PUNJAB,BARNALA,2012,25,8,2,4,0,14,53
PUNJAB,BATALA,2012,25,20,4,10,0,19,78
PUNJAB,BHATINDA,2012,44,31,6,19,0,55,155
PUNJAB,CP AMRITSAR,2012,27,45,5,14,0,105,196
PUNJAB,CP JALANDHAR,2012,33,29,6,17,3,107,195
